,symbol,funding_time,funding_rate
151,BTCUSDT,2019-10-30 16:00:00,0.00052312
152,BTCUSDT,2019-10-31 00:00:00,0.0001317
153,BTCUSDT,2019-10-31 08:00:00,0.00038598
154,BTCUSDT,2019-10-31 16:00:00,0.00041061
155,BTCUSDT,2019-11-01 00:00:00,0.00015873
156,BTCUSDT,2019-11-01 08:00:00,0.00048728
157,BTCUSDT,2019-11-01 16:00:00,0.0001
158,BTCUSDT,2019-11-02 00:00:00,0.0001
159,BTCUSDT,2019-11-02 08:00:00,0.0001
160,BTCUSDT,2019-11-02 16:00:00,0.0001
161,BTCUSDT,2019-11-03 00:00:00,0.0001
162,BTCUSDT,2019-11-03 08:00:00,0.0001
163,BTCUSDT,2019-11-03 16:00:00,0.0001
164,BTCUSDT,2019-11-04 00:00:00,0.0001
165,BTCUSDT,2019-11-04 08:00:00,0.00010072
166,BTCUSDT,2019-11-04 16:00:00,0.0001
167,BTCUSDT,2019-11-05 00:00:00,0.0001
168,BTCUSDT,2019-11-05 08:00:00,0.0001
169,BTCUSDT,2019-11-05 16:00:00,0.0001
170,BTCUSDT,2019-11-06 00:00:00,0.0001
171,BTCUSDT,2019-11-06 08:00:00,0.0001
172,BTCUSDT,2019-11-06 16:00:00,0.00013877
173,BTCUSDT,2019-11-07 00:00:00,0.00027025
174,BTCUSDT,2019-11-07 08:00:00,0.00018004
175,BTCUSDT,2019-11-07 16:00:00,0.0001953
176,BTCUSDT,2019-11-08 00:00:00,0.000125
177,BTCUSDT,2019-11-08 08:00:00,0.0001
178,BTCUSDT,2019-11-08 16:00:00,0.0001
179,BTCUSDT,2019-11-09 00:00:00,0.0001
180,BTCUSDT,2019-11-09 08:00:00,0.0001
181,BTCUSDT,2019-11-09 16:00:00,0.0001
182,BTCUSDT,2019-11-10 00:00:00,0.0001
183,BTCUSDT,2019-11-10 08:00:00,0.0001
184,BTCUSDT,2019-11-10 16:00:00,0.0001
185,BTCUSDT,2019-11-11 00:00:00,0.0001
186,BTCUSDT,2019-11-11 08:00:00,0.0001
187,BTCUSDT,2019-11-11 16:00:00,0.0001
188,BTCUSDT,2019-11-12 00:00:00,0.0001
189,BTCUSDT,2019-11-12 08:00:00,0.0001
190,BTCUSDT,2019-11-12 16:00:00,0.0001
191,BTCUSDT,2019-11-13 00:00:00,-0.00022089
192,BTCUSDT,2019-11-13 08:00:00,0.0001
193,BTCUSDT,2019-11-13 16:00:00,0.0001
194,BTCUSDT,2019-11-14 00:00:00,0.0001
195,BTCUSDT,2019-11-14 08:00:00,0.0001
196,BTCUSDT,2019-11-14 16:00:00,0.0001
197,BTCUSDT,2019-11-15 00:00:00,0.0001
198,BTCUSDT,2019-11-15 08:00:00,0.0001
199,BTCUSDT,2019-11-15 16:00:00,0.0001
200,BTCUSDT,2019-11-16 00:00:00,0.0001
201,BTCUSDT,2019-11-16 08:00:00,0.0001
202,BTCUSDT,2019-11-16 16:00:00,0.0001
203,BTCUSDT,2019-11-17 00:00:00,0.0001
204,BTCUSDT,2019-11-17 08:00:00,0.0001
205,BTCUSDT,2019-11-17 16:00:00,0.0001
206,BTCUSDT,2019-11-18 00:00:00,0.0001
207,BTCUSDT,2019-11-18 08:00:00,0.0001
208,BTCUSDT,2019-11-18 16:00:00,0.0001
209,BTCUSDT,2019-11-19 00:00:00,0.0001
210,BTCUSDT,2019-11-19 08:00:00,0.0001
211,BTCUSDT,2019-11-19 16:00:00,0.0001
212,BTCUSDT,2019-11-20 00:00:00,0.0001
213,BTCUSDT,2019-11-20 08:00:00,0.0001
214,BTCUSDT,2019-11-20 16:00:00,0.0001
215,BTCUSDT,2019-11-21 00:00:00,0.0001
216,BTCUSDT,2019-11-21 08:00:00,0.0001
217,BTCUSDT,2019-11-21 16:00:00,0.0001
218,BTCUSDT,2019-11-22 00:00:00,6.832e-05
219,BTCUSDT,2019-11-22 08:00:00,9.601e-05
220,BTCUSDT,2019-11-22 16:00:00,-0.00025622
221,BTCUSDT,2019-11-23 00:00:00,-0.0002867
222,BTCUSDT,2019-11-23 08:00:00,-0.00017048
223,BTCUSDT,2019-11-23 16:00:00,-0.0001429
224,BTCUSDT,2019-11-24 00:00:00,-0.00010216
225,BTCUSDT,2019-11-24 08:00:00,0.0001
226,BTCUSDT,2019-11-24 16:00:00,0.0001
227,BTCUSDT,2019-11-25 00:00:00,0.0001
228,BTCUSDT,2019-11-25 08:00:00,-3.046e-05
229,BTCUSDT,2019-11-25 16:00:00,-0.00011089
230,BTCUSDT,2019-11-26 00:00:00,-8.462e-05
231,BTCUSDT,2019-11-26 08:00:00,-0.00046229
232,BTCUSDT,2019-11-26 16:00:00,-0.00036807
233,BTCUSDT,2019-11-27 00:00:00,-0.00018098
234,BTCUSDT,2019-11-27 08:00:00,-0.00015744
235,BTCUSDT,2019-11-27 16:00:00,0.0001
236,BTCUSDT,2019-11-28 00:00:00,0.0001
237,BTCUSDT,2019-11-28 08:00:00,0.0001
238,BTCUSDT,2019-11-28 16:00:00,0.0001
239,BTCUSDT,2019-11-29 00:00:00,0.0001
240,BTCUSDT,2019-11-29 08:00:00,0.0001
241,BTCUSDT,2019-11-29 16:00:00,0.0001
242,BTCUSDT,2019-11-30 00:00:00,0.0001
243,BTCUSDT,2019-11-30 08:00:00,-1.926e-05
244,BTCUSDT,2019-11-30 16:00:00,0.0001
245,BTCUSDT,2019-12-01 00:00:00,0.0001
246,BTCUSDT,2019-12-01 08:00:00,0.0001
247,BTCUSDT,2019-12-01 16:00:00,0.0001
248,BTCUSDT,2019-12-02 00:00:00,0.0001
249,BTCUSDT,2019-12-02 08:00:00,0.0001
250,BTCUSDT,2019-12-02 16:00:00,1.721e-05
251,BTCUSDT,2019-12-03 00:00:00,1.418e-05
252,BTCUSDT,2019-12-03 08:00:00,8.902e-05
253,BTCUSDT,2019-12-03 16:00:00,-1.025e-05
254,BTCUSDT,2019-12-04 00:00:00,-3.55e-06
255,BTCUSDT,2019-12-04 08:00:00,3.333e-05
256,BTCUSDT,2019-12-04 16:00:00,-5.268e-05
257,BTCUSDT,2019-12-05 00:00:00,2.564e-05
258,BTCUSDT,2019-12-05 08:00:00,-9.765e-05
259,BTCUSDT,2019-12-05 16:00:00,1.789e-05
260,BTCUSDT,2019-12-06 00:00:00,7.761e-05
261,BTCUSDT,2019-12-06 08:00:00,5.834e-05
262,BTCUSDT,2019-12-06 16:00:00,6.551e-05
263,BTCUSDT,2019-12-07 00:00:00,0.0001
264,BTCUSDT,2019-12-07 08:00:00,3.809e-05
265,BTCUSDT,2019-12-07 16:00:00,0.0001
266,BTCUSDT,2019-12-08 00:00:00,0.0001
267,BTCUSDT,2019-12-08 08:00:00,0.0001
268,BTCUSDT,2019-12-08 16:00:00,0.0001
269,BTCUSDT,2019-12-09 00:00:00,0.0001
270,BTCUSDT,2019-12-09 08:00:00,0.0001
