datetime,open,high,low,close,volume
2018-08-01,7726.0,7757.7,7423.0,7604.1,4324.51116036
2018-08-02,7605.3,7700.0,7455.7,7534.8,3782.05016787
2018-08-03,7526.5,7534.7,7254.6,7415.0,5174.04440685
2018-08-04,7410.1,7485.9,6927.0,7021.2,4894.09119163
2018-08-05,7011.8,7088.4,6880.1,7026.9,3265.07392652
2018-08-06,7026.9,7159.9,6833.0,6935.7,3102.20495977
2018-08-07,6935.7,7149.0,6659.9,6717.8,6417.73248286
2018-08-08,6714.9,6715.0,6120.0,6275.9,9342.55874208
2018-08-09,6276.5,6630.5,6179.1,6536.0,5863.01786287
2018-08-10,6533.4,6579.1,6010.0,6141.5,7429.924015
2018-08-11,6141.0,6491.1,5969.6,6231.8,7046.38298573
2018-08-12,6233.2,6478.0,6158.5,6312.1,4488.01730535
2018-08-13,6310.0,6544.7,6142.5,6250.0,5712.88937187
2018-08-14,6244.0,6789.8,5890.0,6196.2,10067.2854288
2018-08-15,6193.1,6649.0,6186.0,6269.5,7976.19084226
2018-08-16,6263.4,6491.8,6213.0,6316.0,4711.93252798
2018-08-17,6311.6,6596.7,6289.1,6589.2,3766.60987888
2018-08-18,6589.7,6615.8,6301.6,6400.0,3088.20863168
2018-08-19,6400.0,6546.9,6317.2,6475.1,1701.73480967
2018-08-20,6477.9,6520.0,6224.0,6257.2,3734.41128185
2018-08-21,6257.1,6500.0,6241.4,6475.5,3120.87470751
2018-08-22,6474.5,6916.5,6210.0,6359.8,8059.51899393
2018-08-23,6349.3,6578.2,6329.2,6527.2,3387.85465464
2018-08-24,6527.6,6748.0,6451.1,6693.3,3074.34507823
2018-08-25,6693.1,6795.0,6660.6,6732.3,2041.0178768600001
2018-08-26,6727.1,6775.0,6560.4,6710.0,1985.30809743
2018-08-27,6710.0,6949.8,6648.1,6909.0,3102.80800846
2018-08-28,6906.2,7133.7,6860.0,7076.7,5079.81531677
2018-08-29,7076.7,7120.0,6886.6,7022.7,2864.13382228
2018-08-30,7025.4,7060.0,6776.9,6983.1,4659.71984059
2018-08-31,6983.1,7085.9,6888.0,7015.8,3440.70109969
2018-09-01,7019.6,7254.0,7014.7,7191.3,2849.06310697
2018-09-02,7191.2,7331.1,7127.5,7294.7,3316.8438427
2018-09-03,7294.5,7329.9,7183.5,7256.1,2173.4255065
2018-09-04,7256.0,7405.9,7219.2,7359.3,2730.57202702
2018-09-05,7358.8,7389.4,6638.8,6684.5,7460.76711078
2018-09-06,6684.4,6702.3,6250.0,6494.8,9390.53988662
2018-09-07,6494.8,6524.8,6318.8,6397.6,3164.32860295
2018-09-08,6400.0,6457.7,6073.9,6183.2,3777.23774402
2018-09-09,6183.2,6459.4,6137.6,6230.9,3556.30634997
2018-09-10,6232.8,6371.3,6231.0,6304.5,3307.34185272
2018-09-11,6301.2,6410.9,6162.4,6282.3,3454.22187631
2018-09-12,6279.0,6366.4,6195.0,6319.5,2904.13977801
2018-09-13,6325.1,6595.9,6325.1,6487.1,5018.19727591
2018-09-14,6490.5,6599.8,6388.0,6482.9,3883.79405409
2018-09-15,6482.3,6568.4,6465.2,6520.0,1253.313005
2018-09-16,6520.0,6520.1,6342.8,6497.9,1613.49576303
2018-09-17,6501.7,6532.1,6202.2,6250.0,4932.86544805
2018-09-18,6250.0,6384.9,6225.0,6330.5,3169.76064663
2018-09-19,6330.7,6574.0,6102.6,6392.1,4640.34320831
2018-09-20,6390.6,6547.2,6339.2,6491.2,3620.27545364
2018-09-21,6494.7,6819.5,6480.0,6755.0,5585.47577981
2018-09-22,6755.0,6836.4,6625.1,6717.0,3050.13641338
2018-09-23,6705.3,6768.0,6660.1,6700.0,1346.34977888
2018-09-24,6700.2,6719.9,6545.0,6579.2,3806.42735721
2018-09-25,6579.2,6580.0,6318.5,6435.0,4961.09172245
