symbol,fundingTime,fundingRate,markPrice
BTCUSDT,2019-11-22 16:00:00.000,-0.00025622,
BTCUSDT,2019-11-23 00:00:00.000,-0.00028670,
BTCUSDT,2019-11-23 08:00:00.000,-0.00017048,
BTCUSDT,2019-11-23 16:00:00.000,-0.00014290,
BTCUSDT,2019-11-24 00:00:00.000,-0.00010216,
BTCUSDT,2019-11-24 08:00:00.000,0.00010000,
BTCUSDT,2019-11-24 16:00:00.000,0.00010000,
BTCUSDT,2019-11-25 00:00:00.000,0.00010000,
BTCUSDT,2019-11-25 08:00:00.000,-0.00003046,
BTCUSDT,2019-11-25 16:00:00.000,-0.00011089,
BTCUSDT,2019-11-26 00:00:00.000,-0.00008462,
BTCUSDT,2019-11-26 08:00:00.000,-0.00046229,
BTCUSDT,2019-11-26 16:00:00.000,-0.00036807,
BTCUSDT,2019-11-27 00:00:00.000,-0.00018098,
BTCUSDT,2019-11-27 08:00:00.000,-0.00015744,
BTCUSDT,2019-11-27 16:00:00.000,0.00010000,
BTCUSDT,2019-11-28 00:00:00.000,0.00010000,
BTCUSDT,2019-11-28 08:00:00.000,0.00010000,
BTCUSDT,2019-11-28 16:00:00.000,0.00010000,
BTCUSDT,2019-11-29 00:00:00.000,0.00010000,
BTCUSDT,2019-11-29 08:00:00.000,0.00010000,
BTCUSDT,2019-11-29 16:00:00.000,0.00010000,
BTCUSDT,2019-11-30 00:00:00.000,0.00010000,
BTCUSDT,2019-11-30 08:00:00.000,-0.00001926,
BTCUSDT,2019-11-30 16:00:00.000,0.00010000,
BTCUSDT,2019-12-01 00:00:00.000,0.00010000,
BTCUSDT,2019-12-01 08:00:00.000,0.00010000,
BTCUSDT,2019-12-01 16:00:00.000,0.00010000,
BTCUSDT,2019-12-02 00:00:00.000,0.00010000,
BTCUSDT,2019-12-02 08:00:00.000,0.00010000,
BTCUSDT,2019-12-02 16:00:00.000,0.00001721,
BTCUSDT,2019-12-03 00:00:00.000,0.00001418,
BTCUSDT,2019-12-03 08:00:00.000,0.00008902,
BTCUSDT,2019-12-03 16:00:00.000,-0.00001025,
BTCUSDT,2019-12-04 00:00:00.000,-0.00000355,
BTCUSDT,2019-12-04 08:00:00.000,0.00003333,
BTCUSDT,2019-12-04 16:00:00.000,-0.00005268,
BTCUSDT,2019-12-05 00:00:00.000,0.00002564,
BTCUSDT,2019-12-05 08:00:00.001,-0.00009765,
BTCUSDT,2019-12-05 16:00:00.000,0.00001789,
BTCUSDT,2019-12-06 00:00:00.000,0.00007761,
BTCUSDT,2019-12-06 08:00:00.000,0.00005834,
BTCUSDT,2019-12-06 16:00:00.000,0.00006551,
BTCUSDT,2019-12-07 00:00:00.000,0.00010000,
BTCUSDT,2019-12-07 08:00:00.001,0.00003809,
BTCUSDT,2019-12-07 16:00:00.000,0.00010000,
BTCUSDT,2019-12-08 00:00:00.000,0.00010000,
BTCUSDT,2019-12-08 08:00:00.000,0.00010000,
BTCUSDT,2019-12-08 16:00:00.000,0.00010000,
BTCUSDT,2019-12-09 00:00:00.000,0.00010000,
BTCUSDT,2019-12-09 08:00:00.000,0.00010000,
BTCUSDT,2019-12-09 16:00:00.000,0.00010000,
BTCUSDT,2019-12-10 00:00:00.000,0.00010000,
BTCUSDT,2019-12-10 08:00:00.001,0.00010000,
BTCUSDT,2019-12-10 16:00:00.000,0.00010000,
BTCUSDT,2019-12-11 00:00:00.000,0.00010000,
BTCUSDT,2019-12-11 08:00:00.000,0.00004062,
BTCUSDT,2019-12-11 16:00:00.000,-0.00005692,
BTCUSDT,2019-12-12 00:00:00.000,0.00003160,
BTCUSDT,2019-12-12 08:00:00.001,-0.00000320,
BTCUSDT,2019-12-12 16:00:00.000,-0.00008520,
BTCUSDT,2019-12-13 00:00:00.000,-0.00007162,
BTCUSDT,2019-12-13 08:00:00.000,-0.00011387,
BTCUSDT,2019-12-13 16:00:00.000,-0.00009781,
BTCUSDT,2019-12-14 00:00:00.000,-0.00005358,
BTCUSDT,2019-12-14 08:00:00.000,0.00002252,
BTCUSDT,2019-12-14 16:00:00.000,0.00010000,
BTCUSDT,2019-12-15 00:00:00.000,-0.00001788,
BTCUSDT,2019-12-15 08:00:00.001,0.00007982,
BTCUSDT,2019-12-15 16:00:00.000,0.00002225,
BTCUSDT,2019-12-16 00:00:00.001,-0.00013465,
BTCUSDT,2019-12-16 08:00:00.000,-0.00010782,
BTCUSDT,2019-12-16 16:00:00.003,-0.00003652,
BTCUSDT,2019-12-17 00:00:00.008,-0.00004606,
BTCUSDT,2019-12-17 08:00:00.000,-0.00013429,
BTCUSDT,2019-12-17 16:00:00.000,-0.00001606,
BTCUSDT,2019-12-18 00:00:00.006,-0.00013767,
BTCUSDT,2019-12-18 08:00:00.000,-0.00022278,
BTCUSDT,2019-12-18 16:00:00.000,-0.00015090,
BTCUSDT,2019-12-19 00:00:00.001,0.00010000,
BTCUSDT,2019-12-19 08:00:00.001,0.00010000,
BTCUSDT,2019-12-19 16:00:00.000,0.00010000,
BTCUSDT,2019-12-20 00:00:00.000,0.00002383,
BTCUSDT,2019-12-20 08:00:00.000,0.00001034,
BTCUSDT,2019-12-20 16:00:00.000,0.00003190,
BTCUSDT,2019-12-21 00:00:00.000,-0.00000237,
BTCUSDT,2019-12-21 08:00:00.000,0.00010000,
BTCUSDT,2019-12-21 16:00:00.000,0.00010000,
BTCUSDT,2019-12-22 00:00:00.000,0.00010000,
BTCUSDT,2019-12-22 08:00:00.001,0.00010000,
BTCUSDT,2019-12-22 16:00:00.000,0.00001570,
BTCUSDT,2019-12-23 00:00:00.000,0.00010000,
BTCUSDT,2019-12-23 08:00:00.000,0.00010000,
BTCUSDT,2019-12-23 16:00:00.000,0.00010000,
BTCUSDT,2019-12-24 00:00:00.000,0.00010000,
BTCUSDT,2019-12-24 08:00:00.000,0.00010000,
BTCUSDT,2019-12-24 16:00:00.000,0.00010000,
BTCUSDT,2019-12-25 00:00:00.000,0.00010000,
BTCUSDT,2019-12-25 08:00:00.000,0.00006107,
BTCUSDT,2019-12-25 16:00:00.000,0.00010000,
BTCUSDT,2019-12-26 00:00:00.000,0.00010000,
BTCUSDT,2019-12-26 08:00:00.000,0.00010000,
BTCUSDT,2019-12-26 16:00:00.000,-0.00002854,
BTCUSDT,2019-12-27 00:00:00.001,0.00002605,
BTCUSDT,2019-12-27 08:00:00.000,-0.00005694,
BTCUSDT,2019-12-27 16:00:00.000,-0.00008764,
BTCUSDT,2019-12-28 00:00:00.000,-0.00007701,
BTCUSDT,2019-12-28 08:00:00.000,-0.00004257,
BTCUSDT,2019-12-28 16:00:00.000,0.00002166,
BTCUSDT,2019-12-29 00:00:00.000,-0.00023250,
BTCUSDT,2019-12-29 08:00:00.000,0.00010000,
BTCUSDT,2019-12-29 16:00:00.000,-0.00008727,
BTCUSDT,2019-12-30 00:00:00.000,-0.00010232,
BTCUSDT,2019-12-30 08:00:00.000,-0.00017940,
BTCUSDT,2019-12-30 16:00:00.000,-0.00001406,
BTCUSDT,2019-12-31 00:00:00.000,0.00003936,
BTCUSDT,2019-12-31 08:00:00.000,-0.00013050,
BTCUSDT,2019-12-31 16:00:00.000,-0.00002403,
BTCUSDT,2020-01-01 00:00:00.000,-0.00012359,
BTCUSDT,2020-01-01 08:00:00.000,-0.00012383,
BTCUSDT,2020-01-01 16:00:00.000,-0.00009664,
BTCUSDT,2020-01-02 00:00:00.002,0.00003662,
BTCUSDT,2020-01-02 08:00:00.000,0.00010000,
BTCUSDT,2020-01-02 16:00:00.000,0.00000104,
BTCUSDT,2020-01-03 00:00:00.000,-0.00001664,
BTCUSDT,2020-01-03 08:00:00.000,-0.00001553,
BTCUSDT,2020-01-03 16:00:00.001,0.00010000,
BTCUSDT,2020-01-04 00:00:00.000,0.00010000,
BTCUSDT,2020-01-04 08:00:00.000,0.00000084,
BTCUSDT,2020-01-04 16:00:00.000,0.00007387,
BTCUSDT,2020-01-05 00:00:00.000,0.00010000,
BTCUSDT,2020-01-05 08:00:00.000,0.00010000,
BTCUSDT,2020-01-05 16:00:00.000,0.00010000,
BTCUSDT,2020-01-06 00:00:00.000,0.00010000,
BTCUSDT,2020-01-06 08:00:00.000,0.00010000,
BTCUSDT,2020-01-06 16:00:00.000,0.00010000,
BTCUSDT,2020-01-07 00:00:00.000,0.00010000,
BTCUSDT,2020-01-07 08:00:00.001,0.00010000,
BTCUSDT,2020-01-07 16:00:00.000,0.00010000,
BTCUSDT,2020-01-08 00:00:00.000,0.00012514,
BTCUSDT,2020-01-08 08:00:00.000,0.00010000,
BTCUSDT,2020-01-08 16:00:00.001,0.00010000,
BTCUSDT,2020-01-09 00:00:00.000,0.00010000,
BTCUSDT,2020-01-09 08:00:00.000,0.00010000,
BTCUSDT,2020-01-09 16:00:00.000,0.00010000,
BTCUSDT,2020-01-10 00:00:00.000,0.00010000,
BTCUSDT,2020-01-10 08:00:00.000,0.00010000,
BTCUSDT,2020-01-10 16:00:00.000,0.00010000,
BTCUSDT,2020-01-11 00:00:00.000,0.00010000,
BTCUSDT,2020-01-11 08:00:00.000,0.00017846,
BTCUSDT,2020-01-11 16:00:00.000,0.00010000,
BTCUSDT,2020-01-12 00:00:00.000,0.00010000,
BTCUSDT,2020-01-12 08:00:00.000,0.00010000,
BTCUSDT,2020-01-12 16:00:00.000,0.00010000,
BTCUSDT,2020-01-13 00:00:00.001,0.00010000,
BTCUSDT,2020-01-13 08:00:00.000,0.00010000,
BTCUSDT,2020-01-13 16:00:00.000,0.00010000,
BTCUSDT,2020-01-14 00:00:00.000,0.00010000,
BTCUSDT,2020-01-14 08:00:00.000,0.00025900,
BTCUSDT,2020-01-14 16:00:00.001,0.00010000,
BTCUSDT,2020-01-15 00:00:00.000,0.00049392,
BTCUSDT,2020-01-15 08:00:00.000,0.00019497,
BTCUSDT,2020-01-15 16:00:00.000,0.00010000,
BTCUSDT,2020-01-16 00:00:00.000,0.00010000,
BTCUSDT,2020-01-16 08:00:00.000,0.00041191,
BTCUSDT,2020-01-16 16:00:00.000,0.00031466,
BTCUSDT,2020-01-17 00:00:00.000,0.00010000,
BTCUSDT,2020-01-17 08:00:00.000,0.00015027,
BTCUSDT,2020-01-17 16:00:00.000,0.00056749,
BTCUSDT,2020-01-18 00:00:00.001,0.00010000,
BTCUSDT,2020-01-18 08:00:00.001,0.00029182,
BTCUSDT,2020-01-18 16:00:00.000,0.00032081,
BTCUSDT,2020-01-19 00:00:00.000,0.00020041,
BTCUSDT,2020-01-19 08:00:00.000,0.00039329,
BTCUSDT,2020-01-19 16:00:00.000,0.00092467,
BTCUSDT,2020-01-20 00:00:00.000,0.00029702,
BTCUSDT,2020-01-20 08:00:00.000,0.00010000,
BTCUSDT,2020-01-20 16:00:00.000,0.00010782,
BTCUSDT,2020-01-21 00:00:00.000,0.00012057,
BTCUSDT,2020-01-21 08:00:00.000,0.00015425,
BTCUSDT,2020-01-21 16:00:00.000,0.00015740,
BTCUSDT,2020-01-22 00:00:00.000,0.00010000,
BTCUSDT,2020-01-22 08:00:00.001,0.00021392,
BTCUSDT,2020-01-22 16:00:00.000,0.00010000,
BTCUSDT,2020-01-23 00:00:00.000,0.00010000,
BTCUSDT,2020-01-23 08:00:00.000,0.00010000,
BTCUSDT,2020-01-23 16:00:00.000,0.00052304,
BTCUSDT,2020-01-24 00:00:00.000,0.00054719,
BTCUSDT,2020-01-24 08:00:00.000,0.00042124,
BTCUSDT,2020-01-24 16:00:00.001,0.00017948,
BTCUSDT,2020-01-25 00:00:00.000,0.00010000,
BTCUSDT,2020-01-25 08:00:00.000,0.00010000,
BTCUSDT,2020-01-25 16:00:00.001,0.00010000,
BTCUSDT,2020-01-26 00:00:00.000,0.00010000,
BTCUSDT,2020-01-26 08:00:00.000,0.00010000,
BTCUSDT,2020-01-26 16:00:00.000,0.00010000,
BTCUSDT,2020-01-27 00:00:00.000,0.00010000,
BTCUSDT,2020-01-27 08:00:00.001,0.00010000,
BTCUSDT,2020-01-27 16:00:00.000,0.00010000,
BTCUSDT,2020-01-28 00:00:00.000,0.00010000,
BTCUSDT,2020-01-28 08:00:00.000,0.00068689,
BTCUSDT,2020-01-28 16:00:00.000,0.00054394,
BTCUSDT,2020-01-29 00:00:00.001,0.00062324,
BTCUSDT,2020-01-29 08:00:00.000,0.00108193,
BTCUSDT,2020-01-29 16:00:00.002,0.00053694,
BTCUSDT,2020-01-30 00:00:00.000,0.00023600,
BTCUSDT,2020-01-30 08:00:00.000,0.00024877,
BTCUSDT,2020-01-30 16:00:00.000,0.00034852,
BTCUSDT,2020-01-31 00:00:00.000,0.00053551,
BTCUSDT,2020-01-31 08:00:00.000,0.00077154,
BTCUSDT,2020-01-31 16:00:00.000,0.00039858,
BTCUSDT,2020-02-01 00:00:00.000,0.00074991,
BTCUSDT,2020-02-01 08:00:00.000,0.00065667,
BTCUSDT,2020-02-01 16:00:00.000,0.00049052,
BTCUSDT,2020-02-02 00:00:00.000,0.00028263,
BTCUSDT,2020-02-02 08:00:00.000,0.00034916,
BTCUSDT,2020-02-02 16:00:00.000,0.00065524,
BTCUSDT,2020-02-03 00:00:00.000,0.00060677,
BTCUSDT,2020-02-03 08:00:00.000,0.00035862,
BTCUSDT,2020-02-03 16:00:00.000,0.00010000,
BTCUSDT,2020-02-04 00:00:00.000,0.00099282,
BTCUSDT,2020-02-04 08:00:00.001,0.00054450,
BTCUSDT,2020-02-04 16:00:00.000,0.00038192,
BTCUSDT,2020-02-05 00:00:00.002,0.00010000,
BTCUSDT,2020-02-05 08:00:00.000,0.00010000,
BTCUSDT,2020-02-05 16:00:00.000,0.00052631,
BTCUSDT,2020-02-06 00:00:00.000,0.00164021,
BTCUSDT,2020-02-06 08:00:00.000,0.00078299,
BTCUSDT,2020-02-06 16:00:00.000,0.00055668,
BTCUSDT,2020-02-07 00:00:00.000,0.00035618,
BTCUSDT,2020-02-07 08:00:00.000,0.00019726,
BTCUSDT,2020-02-07 16:00:00.001,0.00034616,
BTCUSDT,2020-02-08 00:00:00.000,0.00039915,
BTCUSDT,2020-02-08 08:00:00.000,0.00062858,
BTCUSDT,2020-02-08 16:00:00.000,0.00099315,
BTCUSDT,2020-02-09 00:00:00.000,0.00042798,
BTCUSDT,2020-02-09 08:00:00.000,0.00081519,
BTCUSDT,2020-02-09 16:00:00.000,0.00113954,
BTCUSDT,2020-02-10 00:00:00.000,0.00106733,
BTCUSDT,2020-02-10 08:00:00.000,0.00125022,
BTCUSDT,2020-02-10 16:00:00.009,0.00097918,
